ID,Age,sexe,revenu,score
1,20, Male,20000,35
2,35, Female,40000,67
3,25, Female,32000,52
4,30, Male,45000,75
5,50, Male,70000,82
6,45, Female,80000,70
7,22, Male,25000,40
8,28, Female,37000,55
9,38, Female,55000,
10,42, Male,60000,73
11,32, Male,48000,68
12,29, Female,33000,45
13,48, Female,78000,85
14,55, Male,85000,90
15,60, Female,90000,88
16,19, Male,18000,30
17,23, Female,22000,42
18,39, Male,58000,78
19,41, Female,62000,77
20,27, Male,35000,60
21,33, Male,50000,72
22,26, Female,29000,50
23,37, Female,54000,75
24,43, Male,64000,79
25,46, Male,72000,83
26,36, Female,56000,76
27,31, Male,47000,70
28,29, Female,38000,65
29,34, Female,51000,74
30,24, Male,28000,55
31,57, Male,95000,89
32,58, Female,,93
33,59, Male,99000,95
34,61, Female,102000,99
35,63, Male,105000,98
36,65, Female,108000,97
37,67, Male,110000,96
38,69, Female,112000,94
39,71, Male,114000,93
40,73, Female,116000,92
41,75, Male,118000,91
42,77, Female,120000,90
43,79, Male,122000,89
44,81, Female,124000,88
45,83, Male,126000,87
46,85, Female,128000,86
47,87, Male,130000,85
48,89, Female,132000,84
49,91, Male,134000,83
50,93, Female,136000,82
51,95, Male,138000,81
52,97, Female,140000,80
53,99, Male,142000,79
54,21, Female,23000,38
55,40, Female,59000,81
56,53, Male,79000,72
57,35, Male,45000,64
58,28, Female,37000,58
59,55, Female,78000,81
60,48, Male,70000,75
61,41, Female,60000,70
62,29, Male,35000,48
63,36, Female,56000,72
64,42, Male,62000,85
65,54, Female,85000,90
66,50, Male,72000,72
67,39, Female,58000,69
68,45, Male,80000,82
69,32, Female,48000,50
70,25, Male,32000,45
71,20, Female,20000,35
72,35, Male,40000,67
73,45, Female,80000,70
74,22, Male,25000,40
75,28, Female,37000,55
76,38, Female,55000,80
77,42, Male,60000,73
78,32, Male,48000,68
79,29, Female,33000,45
80,48, Female,78000,85
81,55, Male,85000,90
82,60, Female,90000,88
83,19, Male,18000,30
84,23, Female,22000,42
85,39, Male,58000,78
86,41, Female,62000,77
87,27, Male,35000,60
88,33, Male,50000,72
89,26, Female,29000,50
90,37, Female,54000,75
91,43, Male,64000,79
92,46, Male,72000,83
93,36, Female,56000,76
94,31, Male,47000,70
95,29, Female,38000,65
96,34, Female,51000,74
97,24, Male,28000,55
98,57, Male,95000,89
99,58, Female,98000,93
100,59, Male,99000,95
101,61, Female,102000,99
102,63, Male,105000,98
103,65, Female,108000,97
104,67, Male,110000,96
105,69, Female,112000,94
106,71, Male,114000,93
107,73, Female,116000,92
